state,centralOrState,fundingType,fundingMin,fundingMax,interestRate,subsidyPercent,sector,applyLink,source,tags,verified,popularityScore,description
Andhra Pradesh,State,Grant,500000,2000000,,20,Agri,https://andhra.pr/scheme1,https://andhra.pr/scheme1,agri|msme,TRUE,25,Support for agri-tech startups with capex subsidy
Andhra Pradesh,State,Loan,1000000,10000000,5.0,0,Manufacturing,https://andhra.pr/loan1,https://andhra.pr/loan1,loan|manufacturing,FALSE,10,Term loan with interest reimbursement for MSMEs
Andhra Pradesh,State,Grant,200000,1000000,,0,IT,https://andhra.pr/itgrant,https://andhra.pr/itgrant,it|startup,TRUE,15,Seed grant for IT startups to build prototypes
Arunachal Pradesh,State,Grant,300000,1500000,,15,Agri,https://arunachal.gov.in/scheme1,https://arunachal.gov.in/scheme1,agri|rural,TRUE,5,Support to agri startups in hilly regions
Arunachal Pradesh,State,Loan,500000,5000000,6.5,0,Tourism,https://arunachal.gov.in/loan,https://arunachal.gov.in/loan,tourism|loan,FALSE,3,Low-interest loan for tourism-related startups
Arunachal Pradesh,State,Grant,100000,500000,,0,Handicraft,https://arunachal.gov.in/craft,https://arunachal.gov.in/craft,handicraft|micro,TRUE,2,Micro grants for local artisans
Assam,State,Grant,400000,2000000,,25,Agri,https://assam.gov.in/agri-support,https://assam.gov.in/agri-support,agri|startup,TRUE,18,Agritech grants and subsidies
Assam,State,Loan,800000,8000000,5.5,0,Manufacturing,https://assam.gov.in/loan,https://assam.gov.in/loan,loan|manufacturing,FALSE,8,Manufacturing loan with partial interest subsidy
Assam,State,Grant,150000,750000,,0,Healthcare,https://assam.gov.in/health-grant,https://assam.gov.in/health-grant,health|grant,TRUE,6,Seed grants for healthtech pilots
Bihar,State,Grant,250000,1000000,,20,Agri,https://bihar.gov.in/agri,https://bihar.gov.in/agri,agri|rural,TRUE,12,Agriculture startup support
Bihar,State,Loan,500000,5000000,6.0,0,Manufacturing,https://bihar.gov.in/loan,https://bihar.gov.in/loan,manufacturing|loan,FALSE,7,Term loans for small manufacturers
Bihar,State,Grant,100000,400000,,0,Education,https://bihar.gov.in/edu-grant,https://bihar.gov.in/edu-grant,edu|startup,TRUE,4,Grants for edtech pilots
Chhattisgarh,State,Grant,300000,1500000,,18,Manufacturing,https://chhattisgarh.nic.in/scheme,https://chhattisgarh.nic.in/scheme,manufacturing|msme,TRUE,9,Capex grant for manufacturing micro units
Chhattisgarh,State,Loan,700000,7000000,5.8,0,Agri,https://chhattisgarh.nic.in/loan,https://chhattisgarh.nic.in/loan,agri|loan,FALSE,5,Agritech loans with competitive rates
Chhattisgarh,State,Grant,120000,600000,,0,Energy,https://chhattisgarh.nic.in/energy,https://chhattisgarh.nic.in/energy,energy|renewable,TRUE,3,Support for renewable energy pilots
Goa,State,Grant,200000,1000000,,10,Tourism,https://goapr.gov/scheme,https://goapr.gov/scheme,tourism|startup,TRUE,11,Incentives for tourism startups
